Entity,Code,Year,Avh_worked,Productivity,Continent,Productivity_level
Argentina,ARG,1950,2034,3.1323583,South America,0
Argentina,ARG,1951,2037.8667,3.1537223,South America,0
Argentina,ARG,1952,2041.7408,2.8275332,South America,0
Argentina,ARG,1953,2045.6223,2.963201,South America,0
Argentina,ARG,1954,2049.5112,3.0450959,South America,0
Argentina,ARG,1955,2053.4075,3.2100456,South America,0
Argentina,ARG,1956,2057.311,3.2442515,South America,0
Argentina,ARG,1957,2061.2222,3.3627226,South America,0
Argentina,ARG,1958,2065.1406,3.5632772,South America,0
Argentina,ARG,1959,2069.0667,3.305795,South America,0
Argentina,ARG,1960,2073,3.5032043,South America,0
Argentina,ARG,1961,2066.2004,3.5834718,South America,0
Argentina,ARG,1962,2059.4233,3.6150167,South America,0
Argentina,ARG,1963,2052.6685,3.4547565,South America,0
Argentina,ARG,1964,2045.9355,3.5960059,South America,0
Argentina,ARG,1965,2039.2249,4.0012131,South America,0
Argentina,ARG,1966,2032.5361,4.0533223,South America,0
Argentina,ARG,1967,2025.8694,4.1533222,South America,0
Argentina,ARG,1968,2019.2245,4.2373619,South America,0
Argentina,ARG,1969,2012.6013,4.6145616,South America,0
Argentina,ARG,1970,2006,4.7078919,South America,0
Argentina,ARG,1971,2002.6611,4.8136106,South America,0
Argentina,ARG,1972,1999.3278,4.8590355,South America,0
Argentina,ARG,1973,1996,5.0915828,South America,1
Argentina,ARG,1974,1992.8422,5.1528296,South America,1
Argentina,ARG,1975,1989.6893,5.0658374,South America,1
Argentina,ARG,1976,1986.5415,5.0872693,South America,1
Argentina,ARG,1977,1983.3987,5.3133326,South America,1
Argentina,ARG,1978,1980.2609,5.203927,South America,1
Argentina,ARG,1979,1977.1279,5.4606805,South America,1
Argentina,ARG,1980,1974,5.4924817,South America,1
Argentina,ARG,1981,1961.2301,5.5658088,South America,1
Argentina,ARG,1982,1948.5427,5.7907901,South America,1
Argentina,ARG,1983,1935.9375,6.1241703,South America,1
Argentina,ARG,1984,1923.4137,6.4134645,South America,1
Argentina,ARG,1985,1910.9711,6.2528167,South America,1
